MF_Number,NS_070,NS_110,NS_143,NS_152,NS_187,NS_196,NS_215,NS_216,NS_217,NS_220,NS_224,NS_225,NS_227,NS_228,NS_231,NS_233,NS_234,NS_238,NS_242,NS_243,NS_244,NS_245,NS_246,NS_261,NS_262,NS_263,NS_264,Ecig_39,Ecig_40,Ecig_41,Ecig_44,Ecig_45,Ecig_47,Ecig_48,Ecig_214,Ecig_221,Ecig_222,Ecig_223,Ecig_229,Ecig_230,Ecig_232,Ecig_236,Ecig_237,Ecig_239,Ecig_240,Ecig_241,Ecig_247,Ecig_248,Ecig_249,Ecig_250,Ecig_251,Ecig_252,Ecig_253,Ecig_254,Ecig_255,Ecig_256,Ecig_257,Ecig_258,Ecig_259,NA_PB1,NA_PB2,NA_PB3,NA_PB4,NA_PB5,NA_PB6,NA_PC1,NA_PC2,NA_PC3,NA_PC4,NA_PC5,NA_PC6,NA_PC7,NA_SB1,NA_SB2,NA_SB3,NA_SB4,NA_SB5,NA_SB6,NA_SB7,NA_SC1,NA_SC2,NA_SC3,NA_SC4,NA_SC5,NA_SC6,NA_SC7
MF_4876,4530319.726,2597191.736,3593957.781,3670428.318,1957841.727,532412.2748,5014781.55,1195254.346,1332611.428,5050123.387,3813211.88,1291683.46,2005260.304,1590856.937,1587320.191,1251648.499,913146.438,1251217.119,946850.9328,691041.7769,1412521.326,2125920.478,3902009.861,1271473.478,1753368.898,3734086.101,4482316.07,3006401.807,1203851.645,1120675.956,873749.8422,2295723.854,3156710.707,1894060.578,4514515.984,1003829.331,1059714.894,1005338.848,2110807.318,1283640.033,1812882.96,1163624.916,913175.1254,668161.6353,1034256.189,848712.6408,684312.5363,7714358.994,1224154.158,1056383.504,1009903.158,333601.0724,610550.4417,1033680.628,1213413.142,1001998.407,1321839.059,833668.7095,1382427.739,1467972.854,1966197.46,1471844.342,1880502.876,1970791.678,1131407.642,2745028.162,2827793.517,3444615.035,4037050.301,3565022.136,3854666.949,3946830.266,NA,158491.985,NA,151243.1623,163891.7057,213489.1782,186783.3595,436421.9483,499175.8454,650443.6777,731006.1851,972287.3934,893949.7446,1038464.455
MF_4881,NA,NA,NA,763534.8283,NA,2387424.134,1414504.539,151726.4428,3057704.14,173476.6494,2713266.892,6485628.421,NA,240153.1264,1030902.368,2228189.609,577130.688,2325144.797,1866473.028,2731041.919,2228367.323,2240454.177,241228.9123,2751886.985,688417.0264,823087.2505,98817.87285,823331.8784,764969.6391,NA,998006.5465,320565.7898,NA,222186.1146,307092.7947,2387743.604,4665950.524,7708297.694,1019637.207,3256138.534,862450.5354,3453606.159,NA,2602580.32,1028401.206,410808.2643,1162727.638,879306.787,1626746.016,1589187.779,2006701.643,1444570.122,2252695.533,2608216.752,937884.0932,1925153.818,2678785.822,5548022.276,1227697.597,NA,NA,NA,NA,NA,NA,1311081.093,1247976.873,1355075.807,1264805.71,1323525.488,1357391.75,1342677.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_4887,2338128.497,784521.1357,NA,350107.6261,NA,NA,NA,219082.8532,2350632.429,354569.3412,7693941.48,2231433.005,NA,NA,5736810.047,1152967.538,NA,151391.3568,423376.7285,641210.2565,1017503.294,489989.9664,492338.8399,433599.8218,172364.3335,164425.9746,NA,218261.3793,562385.1192,NA,177019.9838,193057.9823,NA,309415.7968,435970.2985,NA,697529.618,1018586.764,NA,422139.8914,375060.2195,748252.3231,NA,700315.969,NA,1372999.904,NA,NA,NA,382065.786,364564.0858,NA,260116.265,430154.3311,612968.1013,248828.8704,NA,NA,NA,NA,NA,NA,NA,NA,NA,626238.8652,670180.8006,668668.9496,674803.5243,769967.11,816124.9772,737569.1353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_4896,201125.4764,549994.4056,NA,672126.9269,125467.0132,740861.7781,176516.3256,122287.4644,186075.0017,NA,636889.1959,7632545.27,322616.5749,209382.3934,162363.8563,460754.9159,2575173.94,3953031.281,1766691.891,1311786.073,871504.7728,4626795.042,210012.3995,191610.5056,3225810.115,1310888.224,NA,61436.23335,559994.7225,249409.1056,4506359.622,290714.2656,896899.3473,101620.404,396802.4962,7679020.16,3683154.217,NA,388745.02,170446.7443,NA,6249157.09,468223.8681,1340266.907,151463.2232,349900.9152,2868955.855,393221.1216,397080.1697,3563458.925,NA,736819.011,1308817.524,773199.2329,238099.7435,330568.7399,3138521.988,5731659.36,726324.9544,NA,NA,NA,NA,NA,NA,1250065.47,1770224.457,1768295.563,1538228.92,1370138.325,1312039.436,1458731.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_4902,5453421.602,5336840.225,5341923.198,5402022.954,7269613.661,2784181.145,NA,7039824.921,NA,NA,6098289.401,4723344.313,5738694.093,4954660.312,NA,5589277.167,2776048.452,NA,NA,5141038.515,4382243.521,7625959.54,NA,7295490.035,5823329.549,6053495.876,3593739.427,6171666.667,NA,3647212.213,3964940.467,3368790.526,3229213.449,4714727.181,NA,NA,NA,4385701.709,6928310.801,5955288.049,5061583.623,NA,4080626.893,5761528.656,NA,4181418.998,NA,5342286.837,7481197.633,4412090.636,6321304.682,5436545.967,7005742.044,NA,NA,4895939.491,4366319.777,2859322.174,NA,5861910.74,7395243.191,6153464.338,5475941.247,6916447.127,5325090.234,NA,NA,7668100.669,6362599.733,6634115.57,5530689.878,6478487.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_4906,3659853.966,2199269.942,7657456.67,NA,1967533.77,2808202.322,NA,3665927.811,707130.4167,NA,NA,NA,3499393.157,2302158.078,NA,NA,NA,3155067.288,NA,NA,NA,1407114.2,NA,NA,4769563.068,7311676.825,3201386.813,NA,NA,NA,NA,NA,NA,1905089.183,4637218.566,NA,NA,NA,4849030.732,1043908.104,NA,NA,NA,2368649.506,NA,NA,NA,1405269.743,3240538.097,NA,NA,1922890.941,NA,NA,NA,NA,NA,NA,NA,3559985.412,3822383.999,4109552.989,NA,NA,2145457.202,5178908.239,2956578.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943466.5021,NA,NA,NA,NA,NA,NA
MF_4907,NA,NA,NA,NA,NA,1510427.864,791219.5374,NA,627654.4377,NA,NA,1261257.315,NA,NA,359884.0222,NA,3357206.793,584129.7014,447060.42,2552100.612,789529.2583,2825132.842,NA,1135675.118,1105855.671,NA,NA,NA,614303.7135,NA,7656089.804,273178.2458,NA,NA,NA,4643431.25,1902220.816,3466888.626,NA,NA,900883.1459,3302113.405,NA,2688467.34,NA,NA,1188553.762,NA,316293.303,1278037.386,NA,821548.0562,1154313.357,1810957.517,3839200.642,602996.0417,1911621.454,2009953.412,1214546.52,NA,NA,NA,NA,NA,NA,825317.0463,863118.3204,910864.5528,847956.9031,890802.7479,846863.7273,869824.9115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_4914,NA,88221.79926,NA,237628.24,NA,NA,NA,NA,NA,NA,494819.5944,206615.2809,87404.349,NA,NA,306070.4779,99730.8311,177601.376,307623.7978,7647898.539,368377.5187,145651.8672,NA,3389359.225,154026.5496,168687.2293,NA,NA,116030.4419,70549.22574,350449.338,NA,1001486.001,100478.5264,NA,383887.9328,303938.5041,443588.7127,126539.753,NA,178014.4486,234639.7035,NA,193608.3065,NA,65082.62672,109448.8663,NA,89259.89351,297538.6286,102547.2228,NA,1137664.934,518212.3929,322646.4244,134384.9477,613840.425,254876.3668,NA,NA,NA,NA,NA,NA,NA,305069.316,291328.9285,282033.6717,281507.016,279396.7654,300426.5094,293366.3912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_4920,NA,NA,NA,1844472.075,NA,2632231.813,1152024.792,125127.9909,1506279.649,192315.9421,7638330.267,2729427.589,NA,NA,525671.8045,1084715.908,NA,716347.2997,363271.1084,1587578.394,366033.7854,519643.5901,NA,383819.8811,NA,NA,NA,898008.7899,558006.3064,NA,NA,699123.9178,NA,251448.5265,389450.6087,733404.8549,1827067.684,1212515.584,698830.4225,691003.8539,629310.117,708909.9302,NA,765470.2634,NA,207062.4598,NA,321355.4673,210323.0751,481905.9795,377869.4061,NA,NA,1587299.63,NA,941588.4491,1009227.195,NA,232561.0283,NA,NA,NA,NA,NA,NA,546881.1031,595835.9622,580528.2354,531259.3177,623705.9799,646729.5598,565097.2427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_4938,274093.6038,197269.1975,254594.1053,402402.0314,228495.6905,NA,458688.2436,189403.1822,209996.2062,352450.2008,484710.1447,376960.7867,259326.4979,365865.9941,358702.0066,254736.6718,203791.3887,305859.1582,285901.4364,197118.0964,319296.6763,407788.6044,441589.4841,263316.8914,292303.5255,403347.3451,412361.3583,7589844.116,250704.7011,252917.2876,510693.26,269882.6749,531575.5845,357567.5122,427434.3925,320989.9087,237355.5651,308736.0314,353320.7697,358340.8045,299429.6226,414569.7524,216645.1359,382558.0232,272146.5266,367273.208,272390.2097,464164.1323,353513.6801,351187.7376,244689.2415,245067.593,385093.503,255660.2642,250626.623,235046.9101,316022.7237,381538.0492,284159.4001,281702.6423,1977376.078,249618.5801,236867.0134,1778658.502,261830.8508,490218.6084,464210.3189,441090.1005,502179.0945,475395.4716,459560.2595,434481.0223,NA,NA,NA,NA,NA,NA,NA,NA,NA,42172.98421,NA,39040.4842,39543.07253,NA
MF_4940,NA,217588.7266,322487.1708,375429.3267,NA,NA,298596.8388,258100.7938,221113.6059,233600.5793,258334.5088,332155.5111,215602.8503,394819.8845,305766.3497,428493.6611,169908.7987,837098.147,NA,343582.8682,1504477.617,297135.3355,NA,357124.9548,NA,231571.4734,NA,530302.9527,813266.8261,7585237.127,425589.726,233892.9648,494881.4061,NA,NA,299303.1086,NA,349804.6056,284779.0662,1065747.934,284579.0141,231816.7708,248686.0889,253212.8225,189441.4163,235045.2858,340307.461,347103.2198,239790.7676,NA,NA,550704.0427,955376.3986,NA,294043.331,349064.0061,292230.9335,NA,201251.8102,133627.6378,NA,122682.5045,137121.3455,194434.593,121027.363,386818.5477,290263.6753,422420.0752,334108.4798,337853.4655,384890.0543,360436.8775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_4951,NA,1474652.47,594787.1829,NA,NA,NA,291755.3517,757330.7374,435794.9738,NA,NA,NA,NA,1524373.024,415965.8402,900080.4461,1738409.738,NA,600184.5048,NA,474871.8575,484307.1008,NA,7558938.865,604321.4947,638763.1152,1050298.009,NA,338572.6665,6007961.727,3666318.938,941352.046,2653682.898,2504375.313,594641.4038,241935.0501,819774.627,818833.4242,810394.6312,187443.1382,958207.1417,279177.2126,NA,678655.3535,NA,NA,NA,441293.7259,NA,NA,2673057.156,NA,NA,753030.2188,NA,313322.3004,NA,NA,NA,NA,NA,550041.3072,819248.805,1014794.999,543578.4064,365866.2021,NA,361083.5799,417514.4129,387065.2144,354031.2145,397325.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_4952,2062021.425,3055245.161,2274263.675,5807232.258,5110830.953,657810.4964,1927648.981,2030402.784,2258132.013,1942324.096,3681994.263,7134440.44,6029210.208,2475759.086,1898610.867,1614456.99,2595011.126,5709707.721,2727483.586,1652378.141,1958233.508,3509998.014,2173885.553,2322811.906,NA,3070921.157,3158406.518,4498031.838,1907649.738,3321467.12,3935137.818,6683960.572,4590646.324,4528224.726,3150844.19,1686927.736,2180711.045,2891354.186,1719434.529,2432145.517,2023989.46,2329094.451,3280064.002,7558836.823,2503282.118,4440455.439,2483322.512,2013691.428,2384239.156,2278711.98,NA,7367793.55,4470318.116,1898240.566,1446817.729,1631477.23,4571476.319,5474843.816,1940363.189,5690805.222,4165257.654,3423612.149,2404804.58,1577077.55,1484687.306,7279138.49,4927501.528,3675920.992,2594365.118,2198822.171,1717249.167,1583811.172,NA,NA,NA,NA,NA,NA,NA,NA,94689.49482,NA,NA,NA,NA,NA
MF_4955,1141576.705,2143981.036,1242715.021,5724546.35,NA,2115749.195,646000.4334,NA,1260216.688,NA,NA,NA,NA,1155444.559,754870.0816,920794.774,1661238.422,3818181.131,1906499.303,NA,1163367.372,3271214.656,1289529.397,1381610.04,1336117.483,2400654.068,2253364.328,NA,NA,1732889.37,NA,NA,NA,4084175.513,2076291.655,NA,NA,2028124.471,1193282.823,1104555.855,NA,1017633.632,2891901.521,NA,2009688.009,NA,1775949.6,1792223.449,949363.6788,2204736.487,NA,7378754.078,NA,NA,NA,771328.4099,NA,5145792.564,930180.4662,NA,NA,2604680.922,1624115.418,NA,NA,7556001.652,NA,2498507.589,2402032.653,1274225.185,NA,976901.6972,NA,NA,NA,1823250.366,1530367.844,1197693.464,NA,NA,NA,3326216.95,2180162.848,1450993.809,1252510.609,960212.0244
MF_4963,2233517.272,1309534.947,521455.8249,1058327.571,2190553.441,3588489.486,2707488.612,1034594.638,2609474.509,138334.352,NA,2457827.043,1172777.237,1334975.828,1829133.74,1312062.393,7373631.364,6134891.527,2795385.504,2127651.782,2479608.527,1214590.823,NA,188253.004,794993.8707,298870.8833,1115976.051,2117408.785,3955362.759,3051937.61,4895337.058,3599887.463,2567283.513,2971046.651,1523270.953,3490855.601,3368116.866,7541524.957,822315.554,856140.6147,2177826.923,2394322.232,5107471.155,2408555.845,302508.77,326408.2509,4333170.69,696389.192,712672.3651,2393554.422,316680.4317,2044357.291,1566204.28,767393.9536,NA,NA,97537.57664,2075293.245,972894.1493,NA,NA,NA,NA,NA,NA,2635656.021,2097023.36,2234621.721,2426161.392,2272169.593,1786604.106,2094963.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_4967,NA,NA,NA,1425060.903,NA,NA,NA,NA,NA,NA,4226670.563,NA,662415.9957,NA,1418687.681,NA,NA,NA,NA,4979954.624,967442.4633,NA,353170.4586,3158812.895,946181.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,431213.1337,NA,NA,7148906.77,813315.2373,1704712.253,1119612.562,NA,NA,NA,878062.6862,NA,NA,1180091.668,2182346.928,NA,1295675.704,710210.7129,NA,2290077.79,969414.0164,4502577.956,5622635.575,7535712.782,1091586.536,NA,NA,NA,NA,NA,NA,1156502.055,1310212.956,1119501.066,NA,NA,NA,1257783.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_4969,NA,304226.669,NA,650783.41,NA,1239232.982,1143013.789,294857.8318,2225842.911,NA,NA,942612.361,NA,394586.5439,510954.6963,538492.0813,NA,611864.2196,1318091.658,1621516.153,2235608.007,5705564.98,NA,382913.6578,918697.763,990739.2883,NA,1946876.281,904552.4502,NA,NA,NA,NA,438827.7161,NA,NA,2261316.692,NA,106909.852,1488322.723,1206253.405,476483.7868,NA,7531011.763,435535.1484,198392.5989,825638.3787,NA,NA,1559328.308,394441.2838,496480.8329,600304.4971,2189391.45,461846.6222,NA,NA,4296747.608,441328.8503,NA,NA,NA,NA,NA,NA,861903.8251,783826.9908,720210.6977,697481.3948,886082.8371,800586.0968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
