MF_Number,NS_070,NS_110,NS_143,NS_152,NS_187,NS_196,NS_215,NS_216,NS_217,NS_220,NS_224,NS_225,NS_227,NS_228,NS_231,NS_233,NS_234,NS_238,NS_242,NS_243,NS_244,NS_245,NS_246,NS_261,NS_262,NS_263,NS_264,Ecig_39,Ecig_40,Ecig_41,Ecig_44,Ecig_45,Ecig_47,Ecig_48,Ecig_214,Ecig_221,Ecig_222,Ecig_223,Ecig_229,Ecig_230,Ecig_232,Ecig_236,Ecig_237,Ecig_239,Ecig_240,Ecig_241,Ecig_247,Ecig_248,Ecig_249,Ecig_250,Ecig_251,Ecig_252,Ecig_253,Ecig_254,Ecig_255,Ecig_256,Ecig_257,Ecig_258,Ecig_259,NA_PB1,NA_PB2,NA_PB3,NA_PB4,NA_PB5,NA_PB6,NA_PC1,NA_PC2,NA_PC3,NA_PC4,NA_PC5,NA_PC6,NA_PC7,NA_SB1,NA_SB2,NA_SB3,NA_SB4,NA_SB5,NA_SB6,NA_SB7,NA_SC1,NA_SC2,NA_SC3,NA_SC4,NA_SC5,NA_SC6,NA_SC7
MF_2,1116206475,2608024693,10436125.34,3733023738,832538895,7117302385,3479543793,886059324.9,4829905676,1237297262,7128580863,9000577529,353658596.2,1405403595,3717055969,4178810859,4515131458,4135529306,4183586360,6735831209,4048532740,5702050380,1566677763,6227663545,3291730550,3945564245,1525106423,2320264942,2629203467,301009727,3495176416,1842784783,1202834399,2078556951,2378485108,6515710517,6730785381,9304199229,3478282369,4956084667,3099945689,6686586562,888362632.6,6454153701,4168087716,1760211131,4687189960,3653941014,4851322982,5036756034,5394763618,5973308536,6811671266,6376566779,3882785905,5751112172,4917802454,5333823472,4111940546,4255869.622,4650284.759,3503628.531,3627788.838,5298155.871,4329239.123,4356522626,4496826435,3977430959,4117784849,3768978885,3639011725,3579717851,NA,NA,NA,NA,NA,NA,NA,NA,750551.6632,487606.7369,942984.0116,NA,NA,NA
MF_3,NA,1688508261,5981199.59,2631091440,NA,5794479646,2855197795,NA,4654806576,NA,6095451054,NA,729910314.4,NA,2397233493,3522212200,4465022166,4212305708,4396803595,4681164658,4118490352,4311296799,1081469768,4682801506,2256148770,3097752802,NA,1462453350,2542671049,NA,4522772206,1011839189,NA,NA,909891060.9,5623242808,8232464823,8020559690,2041747398,4519662781,2781873834,5847826516,NA,7406460808,2071203462,1328682935,3370190715,1868264937,2584438024,4896555967,2179633939,3091384429,NA,5842207907,3635883142,5361416545,8596957015,8836674364,2693155019,1600956.165,3734238.93,4851592.945,1498224.339,3853611.645,4430350.962,3002138231,3107227071,3035231540,2962210690,2899921499,3057059632,NA,NA,NA,NA,NA,NA,NA,NA,NA,742069.0918,NA,389778.049,NA,418340.2374,NA
MF_4,383833198.3,1374010136,7153567.14,2629366777,533802872.6,4533282195,1919783356,353083003.1,3228249341,625409340.5,6431077694,8691503146,888541492.9,703109487.9,2137297865,2919314300,3046069376,3605762809,3057347325,4565509054,3170344662,3733967216,1066530548,4703400049,1982606262,3117066157,764274458,1312368149,2051673305,185170033.9,3136982406,991240464.5,519548228.5,637834363.6,1038979601,4326779110,7230492863,6159345243,1943378758,3853017075,2129694121,4987722200,336302079.7,6222235333,1917940946,1337632599,2645973078,1494010364,2305223135,4463604350,NA,2836145509,3882679868,4604235779,2583451320,5107511143,7923577391,8536154926,2007550662,NA,5560808.611,7115731.48,NA,4975205.09,6141555.932,2529760304,2792626206,2639339846,2485715367,3035012167,2584236005,2571707240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_5,1680098.604,NA,NA,NA,NA,NA,1573717.522,NA,NA,NA,4254198.021,NA,NA,NA,1260299.617,1869473.804,NA,NA,1774787.324,1936006.087,NA,1633101.676,NA,NA,NA,1030614.025,NA,5135400.435,133223664.1,1629618.557,NA,16424418.54,2291453.04,6359994.698,24570607.25,16062350.66,1460451859,19841148.04,580378392,815148590.9,15167046.98,NA,2073942.724,5529928.045,1058849.089,7672193.562,NA,9127288.566,43038328.06,300196925.1,212750367.8,10246827.54,3476769.117,12098948.49,1503054162,100067268.4,5819759405,109366851.7,505938030.2,NA,NA,1244667.596,NA,NA,1444147.985,401602146.1,401369187.3,374547362.9,392039399.6,398215107.3,382005251.4,362924659.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_6,NA,NA,NA,3170821.39,NA,NA,324521665.1,NA,7750064.89,NA,5724197.474,5389007233,NA,NA,20274251.02,44817632.77,NA,29485482.67,10505586.27,774905895.9,8582200.957,6606036.172,3449649.884,351997403,15912611.97,54192654.74,9340346.159,37315240.21,NA,NA,960918030.9,NA,NA,NA,NA,NA,NA,NA,7195680.102,6769996.868,16814546.86,44436638.25,NA,32969849.27,186319788.4,14247274.35,1164443810,36808043.27,55787377.71,15492861.4,NA,NA,NA,NA,48679661.61,22344037.53,35866638.04,53865956.14,NA,NA,NA,NA,NA,NA,NA,218963601.2,222921859.8,218689190.5,231711652.6,222442169.2,214335299.9,203031783.9,NA,NA,453177.7148,NA,NA,405819.482,489580.8733,NA,289593.1402,NA,NA,NA,NA,950554.9202
MF_7,129935373.3,546737402.1,NA,1191854581,NA,2417054513,1345599792,195011396.2,2024878820,181878763.3,2857009494,4271589342,213958866.1,234607087.3,1505119607,1883537927,1537064418,1935808661,2016208842,2855531169,2247722150,2212974035,427094933.6,2517625795,772926778.3,1420752839,NA,932435860.2,974853864.8,NA,1611898064,563053732.3,259292215.7,284473372.2,512702697.5,2550290998,3134860103,4520769576,1037440308,2391039454,1217975640,3095474717,259740209.2,2836906085,1077535147,476288717.6,1586982729,1279365608,1717628307,2655569279,1355986757,1692335726,2538630126,2488245691,1127673357,2593485817,3644589968,3738572555,1136031318,NA,NA,NA,NA,NA,NA,1536509350,1537693924,1451941485,1564705854,1542813230,1449471214,1391752280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_11,194195563,753894182.2,NA,1286005199,NA,NA,1452770156,NA,NA,NA,3062727017,3999375266,383324425.4,NA,1424017069,2011474357,1540481893,1853321285,NA,2526341816,2034030892,2241655014,541866731.4,NA,1166962760,1448557348,366583926.8,977097119.7,1347594548,NA,NA,676970861.7,319282043.3,331422688.5,531198423.5,NA,3801116491,3275179773,1190508737,2634715225,1307300028,2443601902,NA,3704942604,1137171977,661049011.9,1514058487,1208280790,1596926162,2523707743,NA,1652462630,2605401581,NA,1540762373,2968720054,3749100055,3993286641,1246866167,NA,NA,NA,NA,NA,NA,1639093141,1630130122,1651377112,1572275861,1595621965,1578468370,1618741871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_12,242762511.8,854269800.2,5266245.124,1650120431,304959865.1,2723508190,1236402763,195236894.6,1854486080,393226738.6,NA,3357883538,475588216.1,395660056.2,1548518039,1710258382,1684867144,1779847103,NA,2863018403,1829923754,2273869249,688068054.6,2787446262,1256193673,1800720085,472739253.9,880244143,1138544594,92743094.74,1802287185,549146646.5,317479929.8,386211855.2,665445599.7,2540067805,2613804678,3476150458,618759971.4,2255279835,1239084826,2788780863,179711679.9,3156183410,1247021731,795759921.8,NA,1203501652,1721093948,2608587507,NA,1802101869,2353561860,2686630991,1604576752,2656819141,NA,NA,1397425948,NA,3176070.16,2731524.915,NA,NA,2422786.639,1641184320,NA,NA,1654750185,1709922051,1582550004,1578608328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_13,305851766.2,893795012.6,15765225.49,1738876395,276521305.6,1887555284,1448598928,210570343,2009788011,470270417.6,3209171104,NA,308115569.7,303859729.1,1473044294,1445317385,1450915035,1316059694,1825565370,2313533279,NA,143806597.3,701337152.4,1995771737,834513168.1,1592868457,561900288.2,820239742.6,1137501561,96322898,NA,564929147.3,304405486.5,430380508.7,822840678.4,2373518305,2265463412,NA,1500566577,2194059006,1005804958,2084849814,213613852.7,1936609178,1416698545,653178431.1,1069931972,1193476948,1634749647,NA,NA,1382215829,2154466903,2196106383,1644513284,2999027348,2710409667,NA,1471733114,NA,10297545.19,9601988.136,NA,10693084.19,10889056.39,1554572436,1453445632,1419177065,1623431540,1450631195,1560852753,1492190370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_14,8564288.241,4009487.217,1402196.86,756727.7938,12377935.78,3495757.1,1113609.869,4232896.938,5653651.818,NA,6045013.437,49270597.1,1670724.127,2001025.605,7585169.171,7506817.615,2275371.277,117360296.1,59253942.02,18705728.86,26689540.36,13769805.09,5021287.262,3164134.975,2714030.506,1446314.28,4007565.53,NA,1304571.017,858434.914,2486585.159,644201.7801,13987807.58,1010285.034,5611786.408,7971455.612,173210431.4,10883134.52,6064786.967,16714600.66,16572734.88,363101670.8,1725980.939,12160464.41,770540.8804,8140850.594,31210852.91,3882944.67,271978130,4742721.204,4659571.327,2953124761,4555841.126,5513076.722,1899779.123,1516152.395,20362803.56,2909383.813,1412153.534,566494.9931,NA,1108760.228,NA,NA,1046069.761,36812222.92,38186270.87,42642307.79,39162363.16,42922819.05,37109654.39,37408826.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_15,1065798343,1458861338,1157568790,1981303240,1902638747,1692892259,948347739,1047150680,1011919663,846386952.5,2079997540,1879526800,2255255529,1416944991,914759303.9,1021623043,1237214039,2031455629,1227900840,976373254.3,1021784867,1645484876,1145609405,1463821033,1408301851,1600758638,1477587909,2117986014,865902350.3,1571439097,1670576427,1927153158,1684050647,1963800578,1537969467,982368568,1055356149,1629245336,1169632483,1390145029,1051675244,1152229110,1690266592,2900903256,1400665539,1764519193,1393637812,1444924843,1177723393,1361819260,1684864811,2490116920,1964975785,983382207.2,895142755.5,1051629604,2040800010,1747686396,927960303.1,2253197565,2157861065,1709706926,1220099485,1255221637,1071139176,2190195400,1963916249,1317091142,1428953175,1291668658,1079407124,956274662,2827912007,2537793974,1727916220,1334437974,1333833007,857943009.3,1058937102,555029815.3,2148724874,1728562605,1549677590,1130662815,1238900736,896474986.3
MF_17,41656783.38,34194408.79,15141502.02,12278845.44,45299232.43,63598028.7,50407774.58,56671542.97,279654374.3,6571797.043,56655707.4,2585917049,5023484.558,29574530.22,392257557.5,271929657.5,50358661.79,1053076697,43402987.02,159831115.5,221202799.1,450849200.2,35439612.21,289196757.9,50657680.07,83059880.01,18413837.52,17593839.85,57022882.12,25591953.87,174957775.9,24531219.97,43702396.1,26947054.28,7326893.479,263556735.4,98630750.88,380685175.4,15847399.94,192747532,70012928.19,552327151.9,64625599.48,319888799.9,697958163.2,83885566.79,1424026625,85745737.8,130640616.5,277985590.6,87560302.56,227502086.4,37674662.45,182702943.3,61315157.36,335878576.6,72864801.66,201626644.5,57214332.48,2796329.459,1530907.623,3757348.267,1747744.221,3352293.828,3256333.232,139775821,137474871.2,147563973.5,145476658.2,142610515.7,131421313.1,139301309.8,NA,334629.0226,310285.2392,303322.21,298509.0461,353821.9107,359641.227,263466.1446,479684.2562,327346.875,275389.1055,292816.792,287728.1066,393666.1739
MF_18,132911904.3,329849060.7,NA,NA,153391877.8,1034541222,429873189.9,NA,723263814.8,NA,1817356127,1265934080,250663173.4,201926243.6,590626707.7,NA,659041651.9,830039363,793092837.7,1167556649,548210771.1,905683897.3,371121502.8,1147982622,487028132.5,990941622.4,NA,431476360.5,421377737.5,NA,604250016.8,NA,161653541.1,197388822.7,600503080.3,870821461.4,1110616568,1244620546,NA,1028737994,NA,978002251.1,NA,1367444212,NA,405371467.3,545179954.3,NA,679641095.1,997344019.9,778369733.7,655186151,NA,1164589850,708153676.6,1207869708,2532323219,1691973108,621937815.1,NA,NA,NA,NA,NA,NA,672700306.6,668812192,678756431.3,581834668.7,836633537.9,679526550.2,600687217.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_19,167420658.4,710110116.1,2261296.373,1118584125,263908094.2,2525167501,1229305770,201699759.8,2055929573,228329174.5,66021317.98,80629471.42,312152446.8,300701901.2,1013965710,1499013078,1972713119,1868379727,59813521.22,2165966607,1807021199,2017770254,443298307.7,1982523598,956071571.7,1334757356,284500782.7,624822725.2,1097199767,64911113.02,61976303.12,429212704.5,279324897.8,252110369.9,387358783.2,58626047.42,61137595.97,16086495.3,869444631.9,62541330.64,1223241779,2464363503,210106660.8,64208142.02,889937415.9,557276308.5,1438561197,786784154.4,1108177203,48349391.32,901761964.9,1293919568,44437385.78,77319333.12,50969174.31,65606924.51,70838840.85,87462718.47,1124799122,NA,1421187.308,1862427.569,NA,1387829.151,1764614.472,1307574660,1337153475,1336998590,1321001668,1241789361,21709930.39,1286545197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_21,1225212.659,22257914.03,1097770.696,20199170.05,10594165.16,14182433.83,2321550.45,3664381.811,18035974.05,3975286.967,21541231.34,1947501882,416041.3607,4545738.736,95978445.37,103737571.3,1306561.21,78483873.37,2801505.433,15428080.37,15981803.97,36579023.59,2448395.896,26596553.12,20285035.73,145639691.1,604144.7883,6099961.931,3833739.131,885363.5409,7244323.743,9524415.878,818620.0946,4158641.018,15039219.76,16487192.66,44216447.8,23242658.96,14314405.44,19383812.46,3812838.867,18004628.57,376468.3541,11975710.87,55765594.56,5037283.954,7077553.397,8409518.42,7573135.507,29423352.46,4682381.279,3521541.891,10681561.4,17964917.91,5383868.713,87773704,60183709.1,14497386.85,17864080.98,203550.76,NA,292398.5757,NA,137916.3272,218202.8976,102862421.7,95888704.57,101532821,97641879.06,106046427.8,108991454.7,100386029.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_23,223936899.8,610693239.7,27961965.3,624790664.1,193992432.8,1814213918,552946649.4,90356804.49,1502520163,251327289.8,1251248025,1655535940,92232229.17,322145493.7,955530185.5,439063312.5,451599160.9,666992697.5,1000787579,1187209677,998713696.8,638352179.4,563684918.8,749424934.6,802616418.6,539933398.8,177592080.5,664895806.5,583344120.1,48724708.48,725285875.2,290672411.4,115904567.4,229314784.5,389493183.9,1029120347,1211845844,1165910500,773574191.6,738292494.1,323418553.4,1125119370,70773913.74,820348044.6,655578986.1,287413508.5,362438445.3,528408176.4,485793889.6,987456924.4,NA,1272097908,683769108.4,926902194.9,773147928.6,1216520936,406585946.8,559782136.2,1041622890,7800337.02,13955500.38,8698231.934,5308365.676,13908999.3,9057723.258,682897072.4,769851556.7,623972097,740930606.3,740042780.2,725340615.9,NA,NA,NA,NA,NA,NA,NA,NA,1128047.29,1159134.901,1193461.441,1671368.634,NA,NA,NA
MF_24,2014280.76,212565432.4,521699.8356,71671422.68,524300.0096,296656615.4,527424.5153,6348316.389,1711150445,588182.0226,NA,81983220.31,43628351.48,15815515.87,42659926.9,107731587.2,3350213.721,231298639.7,229544176.1,105730788.1,692920719.1,310049614,38637940.2,57483111.28,2794660.567,20884889.65,1251215.15,65284254.36,11643451.5,1616803.731,1456677298,12451489.66,37688830.63,16957034.03,15679234.45,2325581.061,57549556.97,82845846.09,13066836.36,226434582.7,137994912.8,96885405.45,61424952.03,2088876.523,5197736.032,22454388.7,1596137.085,261725849.9,138008863.9,258838032.8,6015575.786,159502743.8,45749391.32,44632745.28,24632908.33,10237450.52,50409371.28,55044550.06,5684426.978,NA,NA,401034.4457,NA,NA,299152.9521,138398810.2,150634668.8,147693940.1,149821759.7,146902555,137378175,129513358.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_25,827913986.1,NA,1612505243,NA,NA,284142979,77820326.61,437103390.7,NA,NA,NA,268926950.1,535362378.4,314865756.8,43441946.32,252779338.9,NA,208395246.1,120094727.7,79584033.59,529917051.1,698578844.7,278579136.2,1003944590,188573243,NA,NA,527890503.8,79419695.48,211090386.5,NA,77570602.63,113803595.2,NA,574024723.3,NA,500108991.4,NA,763363762.4,146725945.2,96909154.86,8022598.016,NA,233264249.1,1274675999,NA,NA,1224052127,600839368.7,528651247.2,438606983.2,145501630.2,406737807.6,223062304.9,528121745.5,204491577.3,1063662216,594156216,296043956.8,145913162,153424072,NA,145267343.2,176525593.2,NA,NA,59854533.24,463912018.8,567669424.7,580353858.7,NA,493735940.6,NA,NA,NA,NA,NA,NA,NA,6268663.656,7584441.987,7559744.794,9039079.825,NA,9203863.325,9625324.739
MF_26,286354339.7,304568957.4,228409167.5,803285757.1,851889797.1,320820309,283458971.7,219260770.8,356663469.2,NA,NA,351506301.9,725245584.8,475528680.4,185800186.8,685796349,NA,156774972.1,286096814,639881452.4,268451726,700271281.3,785802572.5,573482456.8,431321763.6,69008477.11,687812220.7,NA,389839504,502315970.4,NA,523423850.8,NA,374630361.1,301182913.8,496671415.3,235627080.4,NA,437541708.2,360821712,303321515.7,200394615.5,NA,NA,262024354.9,NA,417228212.2,242181815,425621837.5,496873842.3,113027772.4,513664733.4,642006300.1,557641069.3,482365063.7,453131386,332386401.4,589265250.1,NA,NA,1454033375,485323236.8,358294937.7,389705312.1,NA,NA,123590151.9,137625261.4,85725253.13,NA,351586745.8,299341658.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,942570871.5,NA,NA,NA,NA
MF_27,10757627.63,51570866.1,NA,538105904.6,2831929.983,725499221.1,NA,36372182.71,45041884.66,22818803.23,27373846.48,19459797.6,7458108.315,1004668.326,5852008.746,1458346.272,4281427.35,15281023.9,3462720.065,878688386.9,2485299.796,15715713.64,20546815.73,11390419.63,56642083.07,19726643.82,106485366.3,1644550.799,3515651.985,NA,2142131.278,23617841.94,2327370.053,67992261.53,260920437.9,2072836.939,14901010.36,71085551.66,33175113.99,2728118.357,78568346.52,6562324.11,2317268.83,9101992.029,9377616.196,23305705.22,54268218.63,13215171.08,12295951.48,602636644.7,95678794.57,1413075865,28959219.27,12737376.08,19746130.18,10906471.6,131613821.1,7665312.88,144043449.4,NA,190946556.1,190889.5947,NA,145762621.4,NA,120419385.3,135393927,135112332.6,122663750.7,133044578.8,146816276.3,102355828.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_35,NA,NA,311425697.1,219534141.3,NA,NA,411137278.9,233137440.6,NA,NA,418626323.2,231753268.3,NA,355089004.3,255923640.2,261817880.7,574472121,272189948.8,354481817.8,NA,NA,230673170.3,275447076.9,246969823.6,200710510.4,NA,376577586.7,355006703.4,230473243.4,NA,NA,NA,197773546.9,258014301.3,NA,NA,NA,NA,NA,428669682,473435547.2,510564359.9,327202527.9,40655005.16,414182400,276232056.4,311296399.7,1379593029,429964691.8,NA,200629464.4,172328406.4,NA,NA,755289217.7,226966607.6,NA,438471667.1,178297929.6,223710991.7,148687369.6,289209715,252490474.3,144137928.9,318501299.5,NA,232674887.9,NA,NA,NA,NA,250203085.1,92730618.77,104641398.7,109749884.1,110581771.4,129005711.4,136031830.5,159776610.6,94091563.08,81151064.81,139162674.6,111859320.6,118760198.9,144642772.4,142409773.6
MF_30,784197.0044,4439501.123,642167.0059,3086970.522,3291620.133,3222884.848,1380961.887,1679229.572,7034975.155,548397.5686,5122019.894,1366254268,135227.6971,1084882.44,28598210.87,27453973.38,437904.5732,19350783.19,624785.0641,5826237.822,7170226.79,10896239.51,1152435.009,11606773.15,4680167.759,34283293.06,374644.2834,2009041.104,1147956.358,389313.8671,2993301.278,1754689.645,469412.5196,929953.9458,1643184.898,4444852.672,5771534.47,12308979.1,3605213.355,7944472.992,1528503.487,9716023.33,372311.2484,4919018.533,34904541.24,1720538.997,29238346.88,3967303.971,4130469.543,20624289.23,4348533.885,1146957.512,2295109.346,6396269.361,1558482.53,43208617.68,14848624.1,5419741.139,3891109.881,NA,NA,NA,NA,NA,NA,23324988.55,22557017.94,22670869.57,22311228.07,22821988.02,22624573.62,22574617.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_29,78785129.94,529097665.1,NA,328645344.1,102840216,692299132.4,760904551.9,445831768.6,868695384.2,35912842.95,321551261.3,1195724351,77066675.07,180034197.8,457831284.9,671418097.7,1353650173,320218286.5,327426934.7,721255147.3,1023327696,1167789812,346185104.9,720318175.9,800821208.9,420589828.4,130562378.2,603068930,724407072.4,14917007.35,1032972943,335280958.7,101481437.8,60617381.49,71282581.77,1150024921,808774155.5,741016329.6,277286844,797199442.3,631034649.2,1065610831,73113218.02,1180903832,339426811.5,253468577.6,761989292.9,537927155.8,332568257.9,747505512.8,NA,849579184.6,541970789.9,666266353.5,902032291.2,49705815.24,797611127.8,1151960658,865497554,NA,NA,NA,NA,NA,NA,641053755.3,658130028.9,668264593.6,685696254.5,676552106,670317287.2,636325828.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_28,NA,811996561.9,38271878.29,545632313.2,255065285.6,NA,NA,NA,108229102.1,695665860.1,302800307.3,NA,NA,NA,127287019.4,NA,NA,NA,NA,313714136.8,NA,131094322.3,456366793.1,NA,242900457.6,402485914.1,1344802409,NA,NA,NA,NA,NA,NA,362692173.5,NA,NA,NA,NA,190206142.9,187280664,152353952.5,NA,442576007.7,NA,NA,NA,NA,NA,114309869.4,NA,637031273.9,NA,NA,39033167.33,NA,357663599.6,NA,NA,NA,NA,NA,145533378.7,NA,NA,117293740,262704874.3,202390534.8,NA,NA,NA,291273999.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9436291.081,NA,NA
MF_34,8769553.71,37378488.12,1414200.043,7666174.698,21020719.41,120744182.6,147870779.8,13191651.37,100445742.1,2943032.907,37347535.69,642483038.7,29004040.32,23647033.46,34078963.68,141822739.5,57239578.76,367259394,116867944.1,97817723.77,109974743,37984659.45,9599942.416,62436651.22,19932668.5,25185496.24,3045531.936,157529953.8,163532524,17834182.18,1134376358,34929523.34,9477383.948,10001350.76,13801174.08,51499112.42,80320488.98,557114610.7,16933914.01,460386046.1,200535800.3,291831761,15817383.83,267311619.9,9968835.527,27983099.26,69326777.7,15610753.21,4151109.463,86295768.14,NA,97558690.34,37862472.45,60665947.1,14759135.34,85918539.77,77751881.11,313152627.7,51414759.05,NA,4535440.374,4743504.096,NA,4091043.814,4068967.067,111096760.9,105525026.2,108308712.5,110702628,112223512.3,110243791.6,113246161.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_36,63072165.42,1048430163,18827772.39,42643169.4,19996035.04,204601288.6,NA,38579733.64,124912124.7,23633853.74,NA,144032770.8,94969081.55,26001774.08,222309817.6,27012117.68,50540263.13,NA,103849133,749109252.1,66496843.87,35146214.13,57129495.01,251057209.6,35298939.26,842517304.7,16144555,56460470.68,42697300.16,51247849.97,144236760.9,53970712.13,29041376.05,33035556.64,24307524.29,37735596.99,119757426.3,254566977.9,18407922.84,44055804.41,29290466.52,59190122.91,22837825.01,NA,30640161.55,43177117.52,43790417.74,236952788.9,266669777.9,115648561.4,108028174,836790935.5,110363933.8,88316366.9,99922787.97,29383958.27,NA,NA,50407118.49,8049181.397,18407937.96,11891560.63,7336947.576,15781758.23,10264596.47,159838706.7,160070074.4,157586884.2,154180840.7,142032400.3,137486038,142059108.6,4083695.472,4990116.502,4212132.725,4563562.59,4592440.125,4940261.096,4947584.324,3671466.19,6655600.32,4607241.678,4998782.823,4554310.761,4945836.345,5660925.99
MF_37,8401736.035,19945537.17,60403415.46,62626536.67,20717302.26,787200419.5,71188723.32,22720275,55206550.85,6310039.369,636306774.6,134972947.8,15217584.8,21607347.67,10935198.49,50400817.11,13443248,50679373.82,1035119396,383328410.1,73310489.04,29244991.47,13035849.54,309607453.5,148954711.3,28691027.55,4234383.103,100299987.1,72019309.04,39950432.65,490006404.8,21369731.81,50826635.1,14702147.73,18539432.85,8427234.729,22148834.92,111457681.7,17343873.07,88370824.61,129662336.5,106735088.6,8935382.635,79624015.78,13764561.95,22263594.08,21531768.08,19905202.84,18812222.72,91974407.42,64366421.56,NA,28071944.79,29375165.78,32379713.56,22146687.77,12784593.6,536586189.5,37994368.57,3794013.303,10753481.28,13310354.47,3548636.797,10579547.97,11174664.76,110491366.1,119053603.1,114620135.3,116029865.3,117783042.7,110707183.4,105232042.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_39,35186256.53,NA,NA,NA,NA,32826286.69,NA,NA,NA,NA,NA,NA,NA,NA,66200742.39,13706968.11,82712984.92,454297311.8,NA,NA,NA,28842215.85,20593276.31,38856695.29,23476497.51,NA,14179176.71,136753002.2,66615882.8,203853751.3,158460610.7,59859678.35,176196354.1,27640920.51,NA,134655821.7,215713058.5,1013443987,NA,54949664.36,40065308.83,699329535.4,38356004.29,NA,NA,34301815.81,126094174.3,NA,37277547.12,NA,92892518.91,NA,95494103.69,NA,NA,2874435.283,NA,NA,47075816.68,NA,NA,NA,NA,NA,NA,93125978.56,44876829.17,57871633.23,54263622.51,44301446.64,45371585.11,37056211.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_41,7772092.204,15680943.24,NA,376441990.1,21995414.36,185581058.4,158119188,43147173.59,591018256.2,92148914.75,652369386.2,NA,42958031.8,59149392.5,58617643.91,92328927.78,653065585.1,78160430.84,236386439.2,50777121.88,123088204,178269762.7,329270543.6,108506829.8,50745569.59,56338599.39,17707888.55,47425821.04,237881116.7,4113555.841,NA,595952010,63557653,91615583.61,38556909.44,NA,536287923.9,176001732.4,240745978.1,219394771,57633167.67,240585015.5,6825223.373,147070459,58456348.08,127581610.2,76672088.97,47993664.06,144793503,154412164.1,62894517.65,35281793.03,763182712.8,288816865.2,37003090.12,989765020.4,228378819.1,NA,80676539.69,NA,NA,NA,NA,NA,NA,NA,226926503.3,195796427.4,187572716.5,NA,201061925.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_42,747480.817,2219085.006,NA,84340203.48,10176402.49,67488328.22,13653816.89,34158124.05,259242417.8,1273686.885,514343294,17004083.61,32254939.12,6723583.702,1423869.915,8328110.847,NA,17019941.2,166283931.1,46715594.28,17473079.7,65090415.24,130582793.7,11494611.9,24853083.75,109957304.3,2597324.618,11843406.52,25475661.67,574515.4124,NA,12402636.27,NA,NA,3942983.211,21307265.59,126345223.8,NA,32078732.18,13129167.27,3852947.543,43421964.06,NA,29479752.94,22171728.14,40405993.51,27649865.18,1788484.485,137218697.3,197465225.7,NA,6447044.163,276904979.5,51182689.45,3255734.112,988237176.6,631301018.9,128823905.1,10932990.68,NA,NA,NA,NA,NA,NA,90355519.51,97027322.46,91911838.8,93121286.8,95330400.32,87696622.81,96379677.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_43,8393568.871,104502840.8,NA,145736326.5,13936345.22,NA,95979580.82,15227977.16,NA,9462219.801,394244483.7,826730757,6350861.35,9500063.705,109793709.2,77068500.77,462749669.8,198776467.7,211690957.2,544208808.2,NA,NA,2069380.866,352955908.9,122145174.6,22000846.01,1210267.037,NA,NA,5808107.662,412650461.7,63562918.83,57467017.94,27363530.12,26990586.66,480285890.9,564135471.6,818785165.4,154610317.5,462273314.4,NA,NA,3632715.623,987883600.6,130187425.7,NA,NA,16186244.42,24346113.56,159342322.1,40430311.03,156529511.1,NA,669772524.3,417144144.8,NA,NA,831590050.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219781229.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
